,shortest
672,3293.168211165492
673,3293.168211165492
674,3293.168211165492
675,3293.168211165492
676,3293.168211165492
677,3293.168211165492
678,3293.168211165492
679,3293.168211165492
680,3293.168211165492
681,3293.168211165492
682,3293.168211165492
683,3293.168211165492
684,3293.168211165492
685,3293.168211165492
686,3293.168211165492
687,3293.168211165492
688,3293.168211165492
689,3293.168211165492
690,3293.168211165492
691,3293.168211165492
692,3293.168211165492
693,3293.168211165492
694,3293.168211165492
695,3293.168211165492
696,3293.168211165492
697,3293.168211165492
698,3293.168211165492
699,3293.168211165492
700,3293.168211165492
701,3293.168211165492
702,3293.168211165492
703,3293.168211165492
704,3293.168211165492
705,3293.168211165492
706,3293.168211165492
707,3293.168211165492
708,3293.168211165492
709,3293.168211165492
710,3293.168211165492
711,3293.168211165492
712,3293.168211165492
713,3293.168211165492
714,3293.168211165492
715,3293.168211165492
716,3293.168211165492
717,3293.168211165492
718,3293.168211165492
719,3293.168211165492
720,3293.168211165492
721,3293.168211165492
722,3293.168211165492
723,3293.168211165492
724,3293.168211165492
725,3293.168211165492
726,3293.168211165492
727,3293.168211165492
728,3293.168211165492
729,3293.168211165492
730,3293.168211165492
731,3293.168211165492
732,3293.168211165492
733,3293.168211165492
734,3293.168211165492
735,3293.168211165492
736,3293.168211165492
737,3293.168211165492
738,3293.168211165492
739,3293.168211165492
740,3293.168211165492
741,3293.168211165492
742,3293.168211165492
743,3293.168211165492
744,3293.168211165492
745,3293.168211165492
746,3293.168211165492
747,3293.168211165492
748,3293.168211165492
749,3293.168211165492
750,3293.168211165492
751,3293.168211165492
752,3293.168211165492
753,3293.168211165492
754,3293.168211165492
755,3293.168211165492
756,3293.168211165492
757,3293.168211165492
758,3293.168211165492
759,3293.168211165492
760,3293.168211165492
761,3293.168211165492
762,3293.168211165492
763,3293.168211165492
764,3293.168211165492
765,3293.168211165492
766,3293.168211165492
767,3293.168211165492
768,3293.168211165492
769,3293.168211165492
770,3293.168211165492
771,3293.168211165492
772,3293.168211165492
773,3293.168211165492
774,3293.168211165492
775,3293.168211165492
776,3293.168211165492
777,3293.168211165492
778,3293.168211165492
779,3293.168211165492
780,3293.168211165492
781,3293.168211165492
782,3293.168211165492
783,3293.168211165492
784,3293.168211165492
785,3293.168211165492
786,3293.168211165492
787,3293.168211165492
788,3293.168211165492
789,3293.168211165492
790,3293.168211165492
791,3293.168211165492
792,3293.168211165492
793,3293.168211165492
