,total
624,412837.63516497734
625,403833.2928429664
626,407598.5717580441
627,420707.2692357215
628,407990.5958645858
629,443931.5606184318
630,452540.5196176236
631,420778.2641331395
632,415056.5209127318
633,408494.9727868824
634,409009.55373624683
635,395764.5696890332
636,386129.28276903706
637,377783.41678053053
638,377073.8014866447
639,373389.88344420784
640,366188.3419124556
641,365394.7151940126
642,364068.664419677
643,355266.1919035378
644,395718.0059248172
645,379439.8236253655
646,362598.56441800616
647,358503.9951636219
648,347873.34058344935
649,340201.8581928118
650,337329.3516436598
651,330643.89275957865
652,330537.8113255654
653,330181.0826789476
654,329869.88782818033
655,329869.88782818033
656,329316.8211165489
657,330321.5099244313
658,329335.70203179034
659,329316.8211165489
660,329316.8211165489
661,329316.8211165489
662,329316.8211165489
663,329316.8211165489
664,329316.8211165489
665,329316.8211165489
666,329316.8211165489
667,329316.8211165489
668,329316.8211165489
669,334925.6074241605
670,332253.6367210541
671,332167.77614859387
672,329316.8211165489
673,329316.8211165489
674,329316.8211165489
675,331952.4331983355
676,329813.0540115047
677,329813.0540115047
678,329316.8211165489
679,329316.8211165489
680,329316.8211165489
681,329316.8211165489
682,329316.8211165489
683,331582.81292883534
684,331582.81292883534
685,331582.81292883534
686,329316.8211165489
687,329316.8211165489
688,329316.8211165489
689,329316.8211165489
690,329316.8211165489
691,331231.9912621006
692,329316.8211165489
693,329730.1233416227
694,329730.1233416227
695,329730.1233416227
696,329316.8211165489
697,329316.8211165489
698,330184.984725804
699,330806.8697325623
700,334312.7606625249
701,331975.47230075253
702,329316.8211165489
703,329316.8211165489
704,329316.8211165489
705,329316.8211165489
706,329316.8211165489
707,329708.1451130901
708,329316.8211165489
709,329316.8211165489
710,329316.8211165489
711,330508.38978944917
712,329316.8211165489
713,329840.89560753497
714,329316.8211165489
715,329316.8211165489
716,329644.0752030683
717,329644.0752030683
718,329316.8211165489
719,329316.8211165489
720,329316.8211165489
721,329316.8211165489
722,329316.8211165489
723,329751.92114957335
724,329316.8211165489
725,329316.8211165489
726,329316.8211165489
727,329316.8211165489
728,329316.8211165489
729,329316.8211165489
730,329316.8211165489
731,329316.8211165489
732,329316.8211165489
733,329316.8211165489
734,329316.8211165489
735,329316.8211165489
736,329316.8211165489
737,329685.6572861222
738,329632.81092524115
739,329316.8211165489
740,329316.8211165489
741,329316.8211165489
